entity,alliance,deaths_military,deaths_civilian,deaths_total_low,deaths_total_high,pop_1939_mill,pop_1945_mill,gdp_pc_1939_int1990,gdp_pc_1945_int1990,aircraft_total_39_45,tanks_total_39_45,deaths_total_best,deaths_per_1000,aircraft_per_million_pop,tanks_per_million_pop
Soviet Union,Allies,8700000,15000000,20000000,27000000,170.6,170.0,3000,3500,157000,105000,23500000,137.7491207502931,920.2813599062134,615.474794841735
Germany,Axis,5300000,1400000,5500000,7400000,69.6,66.0,6200,5400,119000,47000,6450000,92.67241379310346,1709.7701149425288,675.2873563218392
China,Allies,3000000,12000000,15000000,20000000,517.6,541.7,1000,1100,2200,1000,17500000,33.80989180834621,4.250386398763524,1.9319938176197835
Poland,Allies,240000,5000000,4800000,6000000,35.1,24.0,3000,2800,100,1000,5400000,153.84615384615387,2.849002849002849,28.49002849002849
Japan,Axis,2100000,900000,2500000,3300000,71.9,72.1,3200,2800,76000,6000,2900000,40.33379694019471,1057.0236439499304,83.44923504867872
United States,Allies,416800,2000,418500,418500,131.0,139.0,8100,10900,300000,88400,418500,3.1946564885496183,2290.0763358778627,674.8091603053435
United Kingdom,Allies,383800,67000,450700,450700,47.8,48.2,6400,6600,132500,27528,450700,9.42887029288703,2771.966527196653,575.8995815899582
France,Allies,217600,350000,567600,567600,41.6,40.5,5200,4800,5500,3000,567600,13.64423076923077,132.21153846153845,72.11538461538461
Italy,Axis,301400,145100,454600,454600,44.4,45.0,3600,3400,11500,7500,454600,10.23873873873874,259.009009009009,168.91891891891893
Canada,Allies,42300,200,42500,45000,11.5,12.1,7200,8300,16000,1800,43750,3.8043478260869565,1391.304347826087,156.52173913043478
